map50,map75
0.463,0.080
0.595,0.168
0.601,0.173
0.612,0.158
0.615,0.182
0.636,0.204
0.599,0.171
0.605,0.204
0.603,0.173
0.617,0.196
0.610,0.232
0.627,0.186
0.604,0.167
0.608,0.170
0.612,0.220
0.616,0.141
0.613,0.179
0.576,0.150
0.633,0.197
0.598,0.171
0.615,0.172
0.586,0.093
0.604,0.144
0.636,0.168
0.620,0.223
0.630,0.200
0.641,0.155
0.649,0.200
0.622,0.192
0.650,0.203
0.635,0.222
0.650,0.253
0.638,0.208
0.648,0.198
0.632,0.170
0.646,0.209
0.610,0.188
0.642,0.253
0.594,0.218
0.655,0.209
0.671,0.268
0.659,0.214
0.664,0.252
0.653,0.212
0.667,0.220
0.676,0.267
0.676,0.265
0.686,0.263
0.674,0.216
0.674,0.272
0.681,0.222
0.690,0.232
0.675,0.271
0.691,0.276
0.693,0.274
0.686,0.245
0.697,0.197
0.705,0.229
0.699,0.288
0.714,0.298
0.701,0.272
0.708,0.295
0.706,0.254
0.713,0.273
0.705,0.254
0.713,0.297
0.712,0.271
0.714,0.258
0.721,0.279
0.725,0.308
0.720,0.291
0.723,0.312
0.725,0.305
0.723,0.283
0.726,0.284
0.724,0.276
0.730,0.298
0.735,0.315
0.739,0.308
0.740,0.303
0.737,0.315
0.730,0.305
0.738,0.312
0.739,0.316
0.739,0.305
0.738,0.318
0.731,0.292
0.737,0.321
0.731,0.304
0.739,0.305
0.736,0.283
0.736,0.298
0.733,0.306
0.726,0.272
0.735,0.302
0.737,0.313
0.732,0.315
0.723,0.255
0.720,0.258
0.721,0.301
0.723,0.285
0.722,0.295
0.719,0.307
0.729,0.297
0.723,0.291
0.724,0.272
0.720,0.300
0.730,0.298
0.734,0.299
0.722,0.280
0.725,0.273
0.723,0.277
0.723,0.281
0.721,0.235
0.723,0.307
0.721,0.272
0.718,0.278
0.714,0.269
0.712,0.312
0.723,0.291
0.721,0.287
0.724,0.278
0.718,0.296
0.728,0.321
0.732,0.323
0.732,0.303
0.726,0.300
0.727,0.298
0.726,0.307
0.723,0.305
0.726,0.306
0.726,0.284
0.735,0.325
0.725,0.262
0.732,0.307
0.733,0.293
0.733,0.291
0.727,0.289
0.732,0.319
0.732,0.279
0.727,0.297
0.738,0.319
0.735,0.324
0.735,0.313
0.739,0.319
0.738,0.304
0.735,0.299
0.738,0.299
0.739,0.313
0.732,0.289
0.735,0.297
0.735,0.318
0.738,0.292
0.736,0.309
0.738,0.314
0.737,0.290
0.743,0.313
0.738,0.305
0.737,0.305
0.736,0.305
0.740,0.309
0.742,0.322
0.739,0.309
0.744,0.321
0.743,0.313
0.742,0.321
0.738,0.287
0.738,0.313
0.739,0.306
0.736,0.312
0.740,0.301
0.739,0.308
0.735,0.316
0.735,0.304
0.729,0.298
0.736,0.293
0.733,0.292
0.732,0.311
0.733,0.305
0.736,0.316
0.739,0.307
0.726,0.262
0.731,0.300
0.735,0.291
0.729,0.299
0.733,0.289
0.735,0.302
0.737,0.317
0.736,0.312
0.729,0.296
0.724,0.297
0.728,0.307
0.731,0.288
0.729,0.291
0.726,0.288
0.730,0.301
0.732,0.290
0.719,0.320
0.734,0.309
0.726,0.306
0.729,0.321
0.728,0.279
0.722,0.266
0.725,0.264
0.719,0.288
0.716,0.292
0.733,0.289
0.734,0.279
0.729,0.303
0.726,0.298
0.720,0.304
0.725,0.284
0.735,0.300
0.729,0.314
0.727,0.286
0.719,0.290
0.730,0.314
0.729,0.293
0.730,0.306
0.732,0.285
0.730,0.316
0.729,0.311
0.729,0.284
0.729,0.311
0.728,0.303
0.727,0.285
0.732,0.309
0.734,0.305
0.739,0.299
0.731,0.297
0.729,0.302
0.731,0.292
0.731,0.319
0.734,0.324
0.732,0.306
0.734,0.316
0.730,0.308
0.733,0.297
0.732,0.314
0.735,0.313
0.735,0.313
0.732,0.302
0.732,0.301
0.730,0.311
0.729,0.294
0.731,0.313
0.729,0.304
0.733,0.302
0.728,0.314
0.730,0.294
0.727,0.304
0.727,0.312
0.732,0.306
0.723,0.291
0.726,0.298
0.726,0.290
0.724,0.300
0.722,0.299
0.720,0.271
0.729,0.309
0.725,0.314
0.727,0.305
0.728,0.280
0.728,0.306
0.725,0.305
0.726,0.299
0.720,0.310
0.713,0.292
0.727,0.322
0.728,0.305
0.728,0.295
0.731,0.292
0.726,0.310
0.729,0.308
0.727,0.303
0.725,0.294
0.723,0.290
0.716,0.303
0.722,0.278
0.725,0.301
0.720,0.284
0.724,0.301
0.714,0.276
0.719,0.292
0.724,0.301
0.722,0.307
0.724,0.312
0.719,0.280
0.716,0.305
0.724,0.298
0.721,0.297
0.724,0.292
0.722,0.309
0.725,0.297
0.723,0.299
0.726,0.302
0.718,0.287
0.722,0.276
0.728,0.297
0.723,0.279
