epoch,loss_train,loss_val,th_best,best_fbeta
1,0.0281841661501276,0.0835588001765501,0.4,0.717985987663269
2,0.0277791912447613,0.0834034688961811,0.4,0.7188833951950073
3,0.0279873389223102,0.0823408320355109,0.41,0.7195948958396912
4,0.0283103173822484,0.0830750472079484,0.4,0.7197897434234619
5,0.0275805568914109,0.082904086376612,0.38,0.7211917638778687
6,0.0277209763690957,0.082044389576484,0.4,0.72129225730896
7,0.0271445540351545,0.0821960901316159,0.39,0.7218565344810486
8,0.0280116611268259,0.08377144108407,0.39,0.7209258079528809
9,0.0274928864451373,0.0831293898324171,0.4,0.7211578488349915
10,0.0272692849044188,0.0835917450678654,0.38,0.7216312289237976
11,0.027625458670756,0.0846811055372922,0.38,0.7193945050239563
12,0.0272341641905225,0.0822042373892588,0.37,0.7223809957504272
13,0.0273108530006183,0.0823372355065284,0.38,0.7228201031684875
14,0.0273660937276201,0.0838141020578451,0.39,0.7206966876983643
15,0.0271362971690335,0.0821377856609148,0.39,0.723223865032196
16,0.0274068402414222,0.0839519897141517,0.39,0.7196665406227112
17,0.0277690167494853,0.0834363606304694,0.41,0.7210857272148132
18,0.0274392639050987,0.0840183573369032,0.39,0.7195385694503784
19,0.0272472674354846,0.0843059806487499,0.38,0.7190937399864197
20,0.0271581363236699,0.0841235515112296,0.38,0.7198402285575867
21,0.0269503511104716,0.0837168476711481,0.37,0.7199298143386841
22,0.0269383564551436,0.084084742439863,0.39,0.7195385098457336
23,0.027066794727717,0.0881132817803285,0.36,0.7151240110397339
24,0.0266837277389711,0.0872692481065407,0.36,0.7156886458396912
25,0.0269987908603679,0.0875508067413018,0.39,0.7156399488449097
26,0.0268970523549187,0.086162962592565,0.4,0.7185852527618408
27,0.026512651804179,0.0856832156005578,0.38,0.7181241512298584
28,0.0269015669470948,0.0857643524232583,0.41,0.7198352813720703
29,0.0267531592079114,0.0853369348706343,0.38,0.720345139503479
30,0.0267538013068615,0.0843495605274652,0.37,0.7211216688156128
31,0.0266966934559682,0.0842288325612361,0.4,0.7207954525947571
32,0.0270849140600776,0.0840176563614454,0.39,0.721244752407074
33,0.0271982870668236,0.0855795058111349,0.38,0.7197996377944946
34,0.0265841186246455,0.0844934961448113,0.39,0.7213833332061768
35,0.0265013437894025,0.0836691689223815,0.37,0.7221262454986572
36,0.0275054336505514,0.0856355695197215,0.4,0.7194309830665588
37,0.0268478738983429,0.0857249840329855,0.41,0.719702959060669
38,0.0267444815638559,0.086314014183023,0.39,0.7183502316474915
39,0.0270704744631512,0.0897606907364649,0.37,0.7132123708724976
40,0.0268263643599503,0.0887530708733277,0.37,0.7143285274505615
41,0.0264331272847215,0.0877764599445538,0.4,0.7144584655761719
42,0.0268874880418085,0.0882759845505158,0.4,0.7146190404891968
43,0.0264214880788466,0.0886617963894819,0.39,0.7143010497093201
44,0.0267510795246314,0.0876787302012627,0.41,0.7161925435066223
45,0.0264149337623252,0.0875294867138832,0.39,0.7170629501342773
46,0.0266424363574948,0.0876941148860332,0.36,0.7165482044219971
47,0.0261517509842059,0.087714784229413,0.4,0.7175315022468567
48,0.0266011004643954,0.0878868683312947,0.4,0.7175361514091492
49,0.0265705328306798,0.0875250410575133,0.4,0.7168201208114624
50,0.0264769734878716,0.0859143918332381,0.38,0.7191017866134644
51,0.0265563512780571,0.0869394983523167,0.39,0.7176620960235596
52,0.0262066839031011,0.0876698792935946,0.37,0.7174386978149414
53,0.0262312512732882,0.0867739484096184,0.41,0.717682957649231
54,0.0262059807785398,0.0882746182764187,0.4,0.7170488238334656
55,0.0265093452093299,0.0876810602270639,0.41,0.7174321413040161
56,0.0262741954565495,0.0877294582434189,0.39,0.7170516848564148
57,0.026574368832449,0.0874875074204726,0.39,0.7178643941879272
58,0.0265896408998531,0.0861057850221792,0.39,0.7200057506561279
59,0.026244475374342,0.0864734410857542,0.38,0.7188555598258972
60,0.0269379457858562,0.0868983190888777,0.4,0.7168014049530029
61,0.0267246719569671,0.0862459021214491,0.4,0.7183189392089844
62,0.0263855114994898,0.0876170775542656,0.39,0.7172084450721741
63,0.0264342892835068,0.0882557066014179,0.41,0.7164016962051392
64,0.0267631629753713,0.0892872815617384,0.37,0.7150296568870544
65,0.0266766139933671,0.0898090642996323,0.37,0.7146992683410645
66,0.0264873770205503,0.0900956163039574,0.37,0.7148411273956299
67,0.0260282656369738,0.0891963339959963,0.39,0.7154921889305115
68,0.0259749715260425,0.0894383001021849,0.35,0.715621829032898
69,0.02636886490389,0.0888157923920796,0.39,0.7159254550933838
70,0.0259011649554635,0.088629751967696,0.39,0.7163748145103455
71,0.0260969179706416,0.0888808233520159,0.41,0.7153358459472656
72,0.0256704823693556,0.0894331880009327,0.37,0.7154892683029175
73,0.0263240220217042,0.0895093015562265,0.36,0.7151637673377991
74,0.0260830288033436,0.0899403168795964,0.35,0.7142658233642578
75,0.0267395729542801,0.0896795376753195,0.36,0.7152009606361389
76,0.0266213299059049,0.0898273783998611,0.39,0.715499222278595
77,0.0264749528096725,0.0938770246620361,0.36,0.7136812210083008
78,0.0261365415712282,0.0933436547907499,0.36,0.7131043076515198
79,0.0259731147086543,0.0918827484337947,0.37,0.7138286232948303
80,0.0260295500547141,0.0926091518157567,0.36,0.713625967502594
81,0.0264039595447512,0.0927099650486921,0.35,0.7134916186332703
82,0.0264915368707586,0.0906965975673534,0.37,0.7146382331848145
83,0.0265180043988089,0.0906718452580464,0.38,0.7150825262069702
84,0.0258395730002179,0.0906189417896362,0.36,0.7152824997901917
85,0.025968147841454,0.0908651325660638,0.37,0.7153763175010681
86,0.026463101146335,0.0897862302282681,0.37,0.715156614780426
87,0.0260086160337016,0.0897666659588233,0.38,0.7161403298377991
88,0.0266878462992128,0.0890171860750669,0.39,0.71764075756073
89,0.026409991633131,0.0878138636740354,0.42,0.71772700548172
90,0.0261533689473319,0.0884405074115747,0.4,0.7168300151824951
91,0.0259486963260966,0.0892651961782039,0.41,0.7173100113868713
92,0.0261651129210008,0.0893766248646455,0.38,0.7158454656600952
93,0.0261615723003773,0.0901308620396332,0.39,0.7161810398101807
94,0.0262608724114656,0.0889297192677473,0.37,0.716825544834137
95,0.0261348937498205,0.0880089020117735,0.4,0.7172058820724487
96,0.0258899773531013,0.090057937714916,0.39,0.71664959192276
97,0.0261635682045965,0.0907739292925749,0.38,0.7160161137580872
98,0.0256911319852386,0.0897933451984173,0.37,0.7172040939331055
99,0.0259004480049589,0.0905671392877896,0.38,0.7171857357025146
100,0.025901038219648627,0.08841846615840228,0.37,0.7178281545639038
