epoch,loss_train,loss_val,th_best,best_fbeta
1,0.5762890546618613,0.4713018085712042,0.41,0.1807939112186432
2,0.2007393413922817,0.1454110749256916,0.22,0.4116407930850982
3,0.1414514338445766,0.1107617788589917,0.32,0.5519601702690125
4,0.1232745945133876,0.0992080406882824,0.49,0.5869261622428894
5,0.1099199126334661,0.0871993667231156,0.23,0.6173272728919983
6,0.1057286661422048,0.0925379500557214,0.51,0.6438623070716858
7,0.0986273634075606,0.0813674907653759,0.36,0.6478819251060486
8,0.0983584485788202,0.0816994297962922,0.29,0.6426392793655396
9,0.0946255281823387,0.0765238569524043,0.37,0.6482576131820679
10,0.0943414342825504,0.0843072242270677,0.45,0.6263679265975952
11,0.0908400439557343,0.0715801279323223,0.29,0.6783091425895691
12,0.0850334279239177,0.0774945887999657,0.53,0.6721401810646057
13,0.0857517885627792,0.0846231429813764,0.4,0.6298803091049194
14,0.0859684018106419,0.0706397827046039,0.34,0.6763637065887451
15,0.0812229868424296,0.0730522281657426,0.43,0.6947837471961975
16,0.074683355207479,0.066300946741532,0.35,0.6885001063346863
17,0.075078125299622,0.0676737199418055,0.38,0.6910159587860107
18,0.0762561563114623,0.0802823350024529,0.41,0.6375331282615662
19,0.0757933480449244,0.0629340729270225,0.34,0.7006881237030029
20,0.0772950637510022,0.0619881606827943,0.35,0.7152822613716125
21,0.0731125836512433,0.0724547294278939,0.41,0.6709886789321899
22,0.0788696235437505,0.063213461293624,0.43,0.7165772318840027
23,0.0819703135079836,0.064047213548269,0.4,0.7133779525756836
24,0.0752956229921574,0.0794710664986035,0.36,0.6243288516998291
25,0.0791999852692492,0.0682992528264339,0.38,0.6853820085525513
26,0.0723865409201818,0.0878184436796567,0.65,0.6833853125572205
27,0.0709457903013209,0.0665378280175037,0.46,0.6945858597755432
28,0.0726892850061982,0.0805869198953494,0.5700000000000001,0.6452480554580688
29,0.07044863653701,0.0630458606741367,0.4,0.7051200270652771
30,0.0700629838530469,0.0660323611914347,0.49,0.7021890878677368
31,0.0662502494876476,0.0625860477105165,0.39,0.7113893032073975
32,0.065890795835034,0.0603127724562699,0.41,0.7275896072387695
33,0.0635858151677979,0.0605643425041284,0.39,0.7248551845550537
34,0.0738719343547529,0.0627367922510856,0.38,0.7044246792793274
35,0.0677306058420899,0.0594794135063122,0.4,0.7210962176322937
36,0.0681675448054407,0.0588335886788673,0.36,0.7221129536628723
37,0.0706864517310018,0.0718295606665122,0.22,0.6885457634925842
38,0.0652660753082308,0.0725415235337538,0.52,0.7013381719589233
39,0.0660583339471673,0.0748051274090241,0.36,0.6532930731773376
40,0.0612050066402285,0.0867526131944778,0.49,0.6515660881996155
41,0.0602978195179685,0.0765833180302228,0.66,0.6917679905891418
42,0.058087365246126,0.0575642803062995,0.39,0.7321370840072632
43,0.0581156399516716,0.065830014550533,0.33,0.7037944793701172
44,0.0618036437795653,0.060909698693416,0.35,0.7215461134910583
45,0.0565744403573832,0.0690488243141235,0.42,0.6845455765724182
46,0.0641483090690021,0.0753110717886533,0.55,0.666315495967865
47,0.0665258043505603,0.0580124530272606,0.29,0.7434177994728088
48,0.0589073347207558,0.0684255100786686,0.49,0.7081838846206665
49,0.0642305023392638,0.0649475597609312,0.38,0.6948308944702148
50,0.0637736569994125,0.0660497238620733,0.37,0.7123000621795654
51,0.0638576427738426,0.062202946593364,0.39,0.7098731994628906
52,0.0570363729968347,0.0599289101858933,0.47,0.7272159457206726
53,0.0666332523710226,0.0683073645982986,0.52,0.6874832510948181
54,0.0594811450146426,0.0589989516406487,0.35,0.7372542023658752
55,0.0531910635179204,0.057975936633272,0.35,0.7333548069000244
56,0.0641147753087875,0.0637917172832366,0.36,0.7126553654670715
57,0.0575846098043632,0.0608038646288407,0.36,0.7304529547691345
58,0.0600564318585165,0.06619482086255,0.33,0.7033408880233765
59,0.0569780004318691,0.0724575063930108,0.3,0.6749430298805237
60,0.0661889421213977,0.0721950168984058,0.42,0.6689242124557495
61,0.0638354131032596,0.0725784696256503,0.49,0.6886162161827087
62,0.0569087875199548,0.0611293942500383,0.39,0.7195048332214355
63,0.0584426828991829,0.0616330399345129,0.4,0.7165789008140564
64,0.0550393067188401,0.0661043747304341,0.47,0.7000669836997986
65,0.055691753685986,0.0696193909224791,0.59,0.7123585343360901
66,0.0586715636079403,0.0632180220996722,0.38,0.712210476398468
67,0.0555896562376247,0.0673859343887903,0.44,0.703784167766571
68,0.0550878063212008,0.0570512549617351,0.4,0.7390999794006348
69,0.059012852801018,0.062974111487468,0.39,0.7170936465263367
70,0.0547881205866009,0.060029808527384,0.38,0.7335028052330017
71,0.0556408038578703,0.0644415715375007,0.37,0.7159843444824219
72,0.0507900437316157,0.0584357584325166,0.43,0.7423839569091797
73,0.0571791206130781,0.062724953994919,0.38,0.71756511926651
74,0.0542876838662465,0.0662318685402472,0.39,0.7034118175506592
75,0.0611215787799829,0.0597184828649728,0.49,0.7303577661514282
76,0.0498565282720608,0.0644715597900824,0.35,0.721307098865509
77,0.0497291359027184,0.069461701485591,0.44,0.6775158047676086
78,0.0510709583999133,0.0654834020787324,0.43,0.7128697037696838
79,0.0542785886019596,0.0586704012866203,0.43,0.7406588792800903
80,0.0551769827280689,0.0686599771754864,0.39,0.6870133280754089
81,0.0539277494033646,0.0637462623417377,0.35,0.7198348641395569
82,0.0488051057597342,0.0598893656562536,0.38,0.740811824798584
83,0.0542830382054072,0.0598948312780031,0.34,0.7382234930992126
84,0.0658613720533034,0.0624143042816565,0.33,0.7165982723236084
85,0.0583974281126081,0.0672673721535083,0.41,0.6953132152557373
86,0.055870857441502,0.0624278630965795,0.37,0.7159683704376221
87,0.0502586812180638,0.0601522251008412,0.4,0.7369983196258545
88,0.0474953205992223,0.0749086367969329,0.48,0.6870863437652588
89,0.0532518557388767,0.064995562705474,0.4,0.7182879447937012
90,0.0558045157930881,0.0604831290741761,0.4,0.7246024012565613
91,0.0532199708513052,0.072998045442196,0.36,0.6970164775848389
92,0.0496794195294124,0.060618791442651,0.34,0.7312023043632507
93,0.0486914618540347,0.0777528193325568,0.43,0.6829717755317688
94,0.0475769131544321,0.0634945042622395,0.32,0.7309232950210571
95,0.0459194671954208,0.0692672666448813,0.31,0.724676787853241
96,0.0456475196686041,0.0657447343453382,0.34,0.725749671459198
97,0.050795933647409,0.063866150780366,0.39,0.7140782475471497
98,0.0456126400873128,0.0627076176401132,0.46,0.7429031133651733
99,0.0536162269025913,0.065388557047416,0.34,0.7051785588264465
100,0.0513700412530372,0.0597182610669197,0.41,0.7219927906990051
101,0.057422196204762,0.0660029265743035,0.47,0.7157286405563354
102,0.0497168234425552,0.0661283134458921,0.38,0.7105255126953125
103,0.0474781477464115,0.0626339324487325,0.43,0.7234665751457214
