epoch,loss_train,loss_val,th_best,best_fbeta
1,0.930891205413001,1.016985170922037,0.5,0.0832123309373855
2,0.7551355295521872,0.863463049217806,0.21,0.082162894308567
3,0.6253017730372292,0.6234260868217986,0.43,0.0850515216588974
4,0.521783424275262,0.5276301907280744,0.38,0.0853744894266128
5,0.4518731565134866,0.4290545224133184,0.34,0.0864784270524978
6,0.4003637914998191,0.3853356560408059,0.33,0.0944244563579559
7,0.3605315197365624,0.3333239787715976,0.33,0.2461173981428146
8,0.3221723502022879,0.3133830428123474,0.36,0.4267737865447998
9,0.2842265313863754,0.2726218109413729,0.41,0.5508585572242737
10,0.2520613325493676,0.351739829374572,0.42,0.5939732193946838
11,0.2250056460074016,0.2326493897175384,0.44,0.6204234957695007
12,0.2044029553447451,0.188492005659362,0.3,0.6271696090698242
13,0.186314246399062,0.1803439729294534,0.43,0.6364812254905701
14,0.1701422279647418,0.158732911287728,0.45,0.651211678981781
15,0.1576294583933694,0.154154378857653,0.46,0.6517064571380615
16,0.1476814310891287,0.1412417781302484,0.45,0.6805011630058289
17,0.136499910971948,0.1303208868129778,0.31,0.6669628620147705
18,0.1283929794601031,0.1192757727231009,0.4,0.6790713667869568
19,0.1214517632552555,0.108446451188144,0.38,0.6909823417663574
20,0.114091448017529,0.1098860547072806,0.45,0.6796900033950806
21,0.1085210635832377,0.1003756005380113,0.32,0.6872407793998718
22,0.1048401497091565,0.0979984783393851,0.44,0.6808409690856934
23,0.0977286267812762,0.0958695615625987,0.42,0.6743490099906921
24,0.0932088649485792,0.0891078064628576,0.41,0.6954842805862427
25,0.0903252236757959,0.0875463376484685,0.41,0.6976957321166992
26,0.0882380084374121,0.0821420669681945,0.41,0.7003369927406311
27,0.0845345877643142,0.0791855232821682,0.31,0.691832959651947
28,0.0796009460410901,0.0769306028545913,0.41,0.7022790908813477
29,0.0768613758363894,0.078165051732528,0.4,0.6962178945541382
30,0.0768188254960945,0.0748906273521104,0.43,0.7005371451377869
31,0.0729333649043526,0.0788759636550636,0.44,0.6899179220199585
32,0.0698945791487182,0.0702063159985562,0.39,0.7086889743804932
33,0.0696594382290329,0.0801895342893519,0.45,0.6818398833274841
34,0.0666999769530126,0.0715135731813261,0.46,0.7063377499580383
35,0.065846282025533,0.0732208659272577,0.26,0.7016161680221558
36,0.0643168214495693,0.0745114820172726,0.47,0.6956758499145508
37,0.0640777558726923,0.0698453186048289,0.3,0.6982079744338989
38,0.0637218111434153,0.0836697743605759,0.37,0.6419678926467896
39,0.0606185390001961,0.068823489691999,0.39,0.6945855617523193
40,0.0623605819897992,0.0659827009411686,0.41,0.7103126645088196
41,0.058527296845402,0.0702599965162196,0.37,0.7004928588867188
42,0.0564690458348819,0.0657354989167997,0.43,0.7097606062889099
43,0.0570827774597065,0.0656894641470606,0.36,0.7110344171524048
44,0.057551275236266,0.070242980589806,0.35,0.693200945854187
45,0.0543429401197603,0.0685410085370985,0.4,0.6974168419837952
46,0.0536272012974534,0.0663940475590653,0.42,0.7019124031066895
47,0.0539951121274914,0.0676768850850857,0.37,0.7064834833145142
48,0.051824133385505,0.0723253882537453,0.46,0.6887140274047852
49,0.055947150843484,0.0664165157635333,0.38,0.7055753469467163
50,0.0546684242039918,0.0681049922891592,0.39,0.7072952389717102
51,0.0526759028754064,0.0679545393687183,0.4,0.7022982835769653
52,0.0541204341234905,0.0746445623621092,0.38,0.6821982264518738
53,0.0512085578005228,0.0695381163919376,0.39,0.7021886706352234
54,0.0487121342122554,0.069741448071801,0.35,0.7065334916114807
55,0.0505903064140251,0.0657346465830075,0.39,0.7148528099060059
56,0.0498456688917108,0.068720966719596,0.34,0.7047960162162781
57,0.0528794310880558,0.0639552843393915,0.42,0.7172990441322327
58,0.0503330870238798,0.0688177957751993,0.37,0.7024123668670654
59,0.0487702076562813,0.0688709282489904,0.38,0.7119964361190796
60,0.0485065285488963,0.1140081116266674,0.27,0.5499621033668518
61,0.0507735586459083,0.0766359529442201,0.32,0.6632089018821716
62,0.0486589659165058,0.0691961917899927,0.38,0.708224892616272
63,0.0466307774132915,0.0677849818652464,0.37,0.7031521201133728
64,0.0504786388309938,0.0698090929190738,0.3,0.703948974609375
65,0.0467251243176204,0.0695101818290807,0.34,0.7005774974822998
66,0.0459649967934404,0.0691181098631883,0.34,0.7040349841117859
67,0.0488972423385296,0.0640519647148706,0.35,0.7142505049705505
68,0.0459635263362101,0.0664488789704391,0.35,0.7083224654197693
69,0.0460556000737207,0.0641060169407371,0.34,0.7246345281600952
70,0.044761495858963,0.0672395219710671,0.29,0.7178089022636414
71,0.0445294853326465,0.0727692557719804,0.3,0.688311755657196
72,0.0436046661463167,0.0663946711032067,0.39,0.7175618410110474
73,0.0439028167831046,0.0698855123403719,0.36,0.7085418701171875
74,0.04451101411134,0.0731031701473866,0.34,0.6938602924346924
75,0.0452198175447327,0.0757615585195816,0.36,0.6867027878761292
76,0.0450818582092012,0.0713910505933276,0.42,0.7039762735366821
77,0.0458261841269476,0.0671049815176402,0.42,0.7180214524269104
78,0.0460140431831989,0.0683315528903977,0.35,0.7049689292907715
79,0.0458457266645772,0.0663102403030557,0.42,0.7138167023658752
80,0.043846921896828,0.0752154920502739,0.28,0.6917008757591248
81,0.0433981053770652,0.0724308373943223,0.36,0.7031287550926208
82,0.041494763794222,0.0710490769312038,0.4,0.7147497534751892
83,0.0461408194580248,0.0728247386987431,0.39,0.7045114040374756
84,0.0442573816967862,0.0700349381540791,0.36,0.7100906372070312
85,0.0424694492827568,0.0722320035605107,0.36,0.7032711505889893
86,0.0404116236711187,0.0694637598817126,0.37,0.7143957614898682
87,0.0421814559586346,0.0709470534476183,0.32,0.7160233855247498
88,0.0415463319247854,0.0698852149169829,0.36,0.7138185501098633
89,0.0428531266296548,0.0685253178984937,0.38,0.7131378650665283
90,0.039442277050444,0.0717205066486435,0.31,0.7150654792785645
91,0.0404504571748631,0.0678493689935086,0.36,0.7191453576087952
92,0.0412928724847733,0.0699934388621378,0.39,0.7140932679176331
93,0.0410435035399028,0.0665315714806823,0.34,0.7182597517967224
94,0.0390494234221322,0.071667094888576,0.36,0.7136538028717041
95,0.0464084002029682,0.0721806154381168,0.44,0.7126188278198242
96,0.0414016868679651,0.0708559875897431,0.33,0.7116809487342834
97,0.0395414358137973,0.070312695135757,0.39,0.7121606469154358
98,0.0402631561564547,0.0715644420834921,0.34,0.711709201335907
99,0.0410854033327528,0.0726189131580166,0.3,0.7060555815696716
100,0.0386110556205468,0.0728699923729745,0.29,0.7151883244514465
101,0.038465376698545,0.0731954122972437,0.43,0.7150928378105164
102,0.038113447856158,0.0712325465628656,0.31,0.716897189617157
103,0.0375062958789723,0.073343056885494,0.31,0.7076616883277893
104,0.0380247758382133,0.0729814207465466,0.35,0.7167614102363586
105,0.0396497296275837,0.0747997009716296,0.38,0.7154955267906189
106,0.0399501883823956,0.0797036337208444,0.38,0.6992795467376709
107,0.0396814756361501,0.0738853191704315,0.31,0.7057356834411621
108,0.0379473078224275,0.071825330634996,0.41,0.7095773220062256
109,0.0381695444935134,0.0704629860692105,0.48,0.7190130352973938
110,0.0386782061202185,0.0736319754209558,0.34,0.7148444652557373
111,0.0368166241874652,0.0739564332100799,0.37,0.7060797810554504
112,0.0363636613770255,0.075259472511835,0.33,0.7146300673484802
113,0.0380810300713138,0.0771434824534897,0.34,0.707268476486206
114,0.0366863477416336,0.0744325556492401,0.39,0.7185888290405273
115,0.0374204075762203,0.071954126485576,0.36,0.7188351154327393
116,0.0388185187322752,0.0697388394056993,0.4,0.7152337431907654
117,0.0362209181939916,0.0707931424475322,0.41,0.720150887966156
118,0.0381413839730833,0.0783333399222563,0.36,0.7007543444633484
119,0.0374227657195712,0.0727118839336148,0.36,0.7097257971763611
120,0.0371196797969085,0.070754456460097,0.31,0.7193441390991211
121,0.0371513304965836,0.0945568495130134,0.32,0.6566219329833984
122,0.0383043575260256,0.0724871943752139,0.45,0.7142411470413208
123,0.035937224222081,0.0756535143038984,0.29,0.7115037441253662
124,0.0360260600170918,0.073922025166073,0.34,0.7140708565711975
125,0.0346502358359949,0.0735320806566436,0.36,0.7135327458381653
126,0.0382222477905452,0.0735157395128981,0.41,0.7154386043548584
127,0.0352208615892699,0.0737881436628305,0.4,0.7138886451721191
128,0.0352237848804465,0.0752641576642202,0.33,0.7106015682220459
129,0.0349450902002198,0.0777501265628863,0.33,0.7092891931533813
130,0.0354082561310912,0.0759936214693016,0.42,0.7100973725318909
131,0.0350683243466275,0.072690453475057,0.43,0.7215843200683594
132,0.0353066876104899,0.0728591172877004,0.34,0.7222205400466919
133,0.0426397928968071,0.074725475698962,0.51,0.7010506987571716
134,0.0362258724948125,0.077230578667279,0.34,0.7163914442062378
135,0.0362704667528825,0.0749440611166469,0.34,0.7102211713790894
136,0.0346989065249051,0.0738596281952272,0.42,0.7109948396682739
137,0.0337982032235179,0.0769879817962646,0.45,0.7159797549247742
138,0.033629751248019,0.0789106526112152,0.34,0.713805615901947
139,0.033124427492065,0.0772489885152396,0.38,0.7105803489685059
140,0.0352356837743095,0.0801540591548812,0.35,0.7030649185180664
141,0.0343617753232164,0.073408940459712,0.39,0.7053817510604858
142,0.0356451631603496,0.0766163798270084,0.39,0.7047820687294006
143,0.0342771959384637,0.0780797810372659,0.37,0.7135730385780334
144,0.0345315143865134,0.0737405225192591,0.38,0.7203402519226074
145,0.0335142595906342,0.0761799465991177,0.27,0.7108950614929199
146,0.0330975556107504,0.0775233842748201,0.39,0.7041410207748413
147,0.0332985917931156,0.0803360526244771,0.31,0.7120659947395325
148,0.0319332831778696,0.0776220453366384,0.37,0.7127793431282043
149,0.0329150626515703,0.0728058531817238,0.41,0.7181602716445923
150,0.035494466940207144,0.07559336033665527,0.36000000000000004,0.7139013409614563
