                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4332,                 3.2753,                 2.2888,                 1.8906,                0.44637,                0.46374,                0.39723,                0.15468,                 0.4779,                0.51022,                0.45322,                0.17246,                  2.099,                 2.6453,                 1.9915,                 1.5031,             0.00065854,             0.00065854,             0.00065854
                      1,                 1.7986,                 2.5793,                 1.4974,                 1.3995,                0.52024,                 0.5535,                0.49574,                0.23274,                0.52362,                0.56358,                0.50552,                 0.2159,                 1.7373,                 2.3136,                 1.9696,                 1.3184,              0.0013219,              0.0013219,              0.0013219
                      2,                 1.7496,                 2.5136,                 1.4316,                 1.3303,                0.50465,                0.57919,                0.48462,                0.20992,                0.51665,                0.59902,                0.50674,                0.20894,                 1.8547,                 2.5399,                 1.8441,                 1.3529,               0.001982,               0.001982,               0.001982
                      3,                 1.7394,                 2.4486,                 1.4273,                 1.3041,                0.53428,                0.57561,                0.53341,                0.24406,                0.56299,                0.58569,                0.56348,                0.24132,                 1.8281,                 2.2896,                 1.5197,                 1.3526,              0.0019852,              0.0019852,              0.0019852
                      4,                 1.6919,                 2.3744,                 1.3908,                   1.29,                0.59359,                0.58764,                0.58218,                0.28025,                0.59148,                0.58634,                0.58253,                0.24366,                 1.7154,                 2.3992,                  1.373,                 1.2916,              0.0019852,              0.0019852,              0.0019852
                      5,                 1.6836,                 2.3472,                 1.3865,                 1.2675,                0.59548,                0.61301,                0.60034,                0.27801,                0.59912,                0.61496,                0.60524,                0.27186,                 1.7484,                 2.3429,                 1.4464,                 1.3039,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.6596,                 2.3144,                  1.365,                 1.2584,                0.55192,                0.62146,                0.55558,                0.27524,                0.55304,                0.61301,                0.55593,                0.24539,                 1.6513,                 2.4235,                  1.426,                 1.2617,              0.0019753,              0.0019753,              0.0019753
                      7,                  1.644,                 2.3299,                  1.352,                  1.254,                0.59208,                0.60976,                0.58989,                0.29045,                0.60217,                0.61756,                0.60481,                0.27492,                 1.6889,                 2.2456,                 1.3452,                 1.2742,              0.0019703,              0.0019703,              0.0019703
                      8,                 1.6252,                 2.2757,                 1.3592,                 1.2317,                0.58583,                0.62146,                0.61434,                0.29693,                0.60779,                 0.6239,                 0.6239,                0.27159,                 1.6685,                 2.2691,                 1.3278,                 1.2515,              0.0019654,              0.0019654,              0.0019654
                      9,                 1.6078,                 2.2204,                 1.3063,                 1.2357,                0.59115,                0.60328,                0.59346,                0.29518,                 0.5869,                0.59545,                0.58375,                0.24035,                 1.6304,                 2.5021,                 1.2962,                 1.2487,              0.0019604,              0.0019604,              0.0019604
                     10,                 1.6096,                 2.2271,                 1.2885,                 1.2198,                0.58982,                0.61236,                0.59627,                0.30521,                0.59483,                0.61756,                0.59646,                0.27282,                 1.6265,                 2.2426,                 1.2694,                 1.2586,              0.0019555,              0.0019555,              0.0019555
                     11,                 1.5933,                 2.2302,                  1.293,                 1.2155,                 0.6408,                0.57919,                0.61725,                0.31666,                0.64697,                0.57821,                 0.6132,                0.27436,                 1.6137,                 2.3385,                 1.2599,                 1.2373,              0.0019505,              0.0019505,              0.0019505
                     12,                 1.5917,                 2.2311,                 1.2925,                 1.2244,                0.59696,                0.61561,                0.60499,                0.30487,                0.61581,                0.63285,                0.63334,                0.30425,                 1.6387,                 2.0602,                 1.3227,                 1.2452,              0.0019456,              0.0019456,              0.0019456
                     13,                 1.5696,                 2.1635,                 1.2677,                 1.1985,                0.62494,                0.61301,                0.63104,                 0.3248,                0.62222,                0.61301,                0.62566,                0.27676,                 1.5803,                 2.3195,                  1.238,                 1.2293,              0.0019406,              0.0019406,              0.0019406
                     14,                 1.5599,                  2.164,                 1.2707,                 1.2036,                0.61508,                0.63772,                0.64309,                0.31789,                0.63269,                0.64878,                0.66185,                0.31188,                 1.6424,                 2.1484,                  1.239,                 1.2525,              0.0019357,              0.0019357,              0.0019357
                     15,                 1.5634,                 2.1776,                 1.2576,                 1.1962,                0.59142,                0.61756,                0.61749,                0.31311,                0.61889,                0.61496,                0.62827,                0.29052,                 1.6319,                 2.2952,                 1.3168,                 1.2451,              0.0019307,              0.0019307,              0.0019307
                     16,                 1.5549,                 2.1583,                 1.2741,                 1.2108,                0.62591,                0.64195,                0.65487,                0.33048,                0.63783,                0.64943,                 0.6664,                0.30976,                 1.6081,                 2.2295,                 1.2304,                 1.2306,              0.0019258,              0.0019258,              0.0019258
                     17,                 1.5355,                 2.1066,                  1.235,                 1.1908,                0.61846,                0.63317,                0.62768,                0.31459,                0.63547,                0.63545,                0.64542,                0.29254,                 1.6494,                 2.2752,                 1.2389,                 1.2312,              0.0019208,              0.0019208,              0.0019208
                     18,                  1.541,                 2.1251,                 1.2463,                 1.1885,                0.61002,                0.61756,                0.62074,                0.31814,                0.61948,                0.61412,                0.62851,                0.29315,                  1.607,                 2.1735,                 1.2665,                 1.2393,              0.0019159,              0.0019159,              0.0019159
                     19,                 1.5348,                 2.1128,                 1.2271,                 1.1919,                0.62736,                 0.6348,                0.65486,                0.33458,                0.63057,                0.63805,                0.65367,                0.29281,                 1.6069,                 2.2891,                 1.2208,                 1.2317,              0.0019109,              0.0019109,              0.0019109
                     20,                 1.5129,                 2.0854,                  1.221,                 1.1827,                0.63779,                0.61203,                0.64259,                0.31788,                0.65954,                0.62081,                0.66365,                0.31543,                  1.641,                 2.1576,                 1.2577,                 1.2266,               0.001906,               0.001906,               0.001906
                     21,                 1.5092,                 2.0852,                 1.2258,                 1.1697,                0.62705,                0.62862,                0.64507,                0.32753,                0.63911,                0.63415,                 0.6553,                0.31312,                 1.6076,                 2.1954,                 1.2106,                 1.2189,               0.001901,               0.001901,               0.001901
                     22,                  1.507,                 2.0793,                 1.2155,                 1.1796,                0.64562,                0.65073,                0.66426,                0.32692,                0.66554,                0.66393,                0.69453,                0.33783,                 1.6565,                 1.9699,                 1.2394,                 1.2352,              0.0018961,              0.0018961,              0.0018961
                     23,                 1.5293,                 2.1203,                 1.2427,                 1.1819,                  0.615,                0.63415,                0.64245,                0.31871,                0.64851,                0.64228,                0.67379,                0.32804,                 1.6633,                 2.0078,                 1.2343,                 1.2404,              0.0018911,              0.0018911,              0.0018911
                     24,                 1.5062,                 2.0587,                 1.2694,                 1.1727,                0.63624,                 0.6322,                0.65277,                 0.3401,                0.64567,                0.65007,                0.67243,                 0.3331,                 1.5897,                 2.0407,                 1.2126,                 1.2097,              0.0018862,              0.0018862,              0.0018862
                     25,                 1.5347,                 2.0813,                 1.2147,                 1.1809,                0.63782,                0.63805,                0.65601,                0.34148,                0.64525,                0.65041,                0.66465,                0.31931,                 1.5791,                 2.0938,                 1.2088,                 1.2089,              0.0018812,              0.0018812,              0.0018812
                     26,                 1.4999,                 2.0726,                 1.1947,                 1.1771,                0.64049,                0.65815,                0.66094,                0.35062,                0.64777,                0.66563,                0.66644,                0.31776,                 1.5607,                 2.1016,                 1.1675,                 1.2043,              0.0018763,              0.0018763,              0.0018763
                     27,                 1.4973,                 2.0609,                 1.1973,                 1.1661,                0.65003,                0.64328,                0.67432,                0.34196,                0.66385,                0.65366,                 0.6903,                0.33658,                 1.6188,                 2.1077,                 1.2009,                 1.2208,              0.0018713,              0.0018713,              0.0018713
                     28,                 1.4893,                 2.0549,                  1.192,                 1.1659,                0.65458,                0.64401,                0.67769,                0.35416,                0.67095,                0.65528,                0.69628,                0.34444,                 1.5801,                  2.037,                  1.152,                 1.2189,              0.0018663,              0.0018663,              0.0018663
                     29,                  1.491,                 2.0254,                 1.1791,                 1.1609,                0.64089,                0.65872,                0.66118,                0.35035,                 0.6602,                0.67089,                0.68214,                0.33279,                  1.556,                 2.0632,                 1.1657,                  1.201,              0.0018614,              0.0018614,              0.0018614
                     30,                 1.4991,                 2.0471,                 1.1991,                 1.1688,                0.63122,                0.65171,                0.66834,                0.34298,                0.65688,                0.65041,                0.67685,                0.33023,                 1.5628,                 2.0436,                  1.177,                 1.2105,              0.0018564,              0.0018564,              0.0018564
                     31,                 1.4856,                 2.0402,                  1.188,                  1.162,                0.64909,                0.65333,                0.67856,                0.35501,                0.65369,                0.65252,                0.67813,                0.31728,                 1.5286,                 2.1924,                  1.182,                 1.1947,              0.0018515,              0.0018515,              0.0018515
                     32,                 1.4854,                 2.0461,                 1.1883,                  1.165,                0.65253,                0.64976,                0.67487,                0.35202,                0.66257,                0.65593,                0.67673,                0.31386,                 1.5476,                 2.1956,                 1.1566,                  1.199,              0.0018465,              0.0018465,              0.0018465
                     33,                 1.4978,                 2.0279,                 1.1847,                  1.158,                 0.6525,                0.64618,                0.67398,                0.34916,                0.67031,                0.65525,                0.69102,                0.33341,                 1.5616,                 2.0565,                 1.1745,                 1.1929,              0.0018416,              0.0018416,              0.0018416
                     34,                 1.4815,                  2.011,                  1.177,                 1.1641,                 0.6515,                 0.6439,                0.67531,                0.36073,                0.66018,                0.65579,                0.68278,                0.33318,                 1.5345,                 2.0359,                 1.1861,                 1.1932,              0.0018367,              0.0018367,              0.0018367
                     35,                 1.4742,                 2.0208,                 1.1735,                 1.1605,                0.63254,                 0.6478,                 0.6584,                0.34514,                 0.6433,                 0.6598,                0.67141,                0.33143,                 1.5592,                 2.0599,                 1.1764,                 1.1923,              0.0018317,              0.0018317,              0.0018317
                     36,                  1.468,                 2.0114,                 1.1708,                 1.1503,                0.64953,                0.64731,                0.67106,                 0.3589,                 0.6603,                0.64813,                0.67441,                 0.3182,                 1.5368,                 2.1504,                 1.1633,                 1.1852,              0.0018267,              0.0018267,              0.0018267
                     37,                 1.4846,                 2.0167,                 1.1774,                   1.16,                0.64478,                0.65626,                0.66548,                0.34473,                0.66176,                0.66472,                0.68453,                0.32591,                 1.5823,                 2.0714,                 1.1704,                 1.2078,              0.0018218,              0.0018218,              0.0018218
                     38,                 1.4597,                 2.0029,                  1.151,                 1.1471,                0.64144,                0.64098,                0.66249,                0.35194,                0.65411,                0.64943,                0.67123,                0.32683,                 1.5356,                 2.0635,                 1.2019,                  1.193,              0.0018168,              0.0018168,              0.0018168
                     39,                 1.4611,                 2.0353,                 1.1648,                 1.1653,                0.64204,                0.63812,                0.65761,                0.34205,                0.65676,                0.65709,                0.67677,                0.34273,                 1.5974,                 1.9764,                 1.1859,                 1.2157,              0.0018119,              0.0018119,              0.0018119
                     40,                 1.4632,                 2.0181,                 1.1674,                 1.1483,                0.65001,                0.65724,                0.67869,                0.35967,                0.65814,                0.65486,                 0.6749,                0.31846,                 1.5411,                 2.1135,                 1.1644,                 1.1958,              0.0018069,              0.0018069,              0.0018069
                     41,                 1.4527,                  1.985,                 1.1594,                 1.1522,                0.64414,                0.64488,                0.67057,                 0.3478,                0.66266,                0.66732,                0.69772,                0.34371,                 1.6011,                 2.0476,                 1.1613,                 1.2135,               0.001802,               0.001802,               0.001802
                     42,                 1.4664,                 2.0061,                 1.1639,                 1.1525,                0.64589,                0.65008,                 0.6735,                0.36437,                0.65893,                0.65431,                0.67953,                0.32003,                   1.52,                 2.0541,                 1.1508,                 1.1866,              0.0017971,              0.0017971,              0.0017971
                     43,                 1.4547,                 1.9935,                  1.147,                 1.1455,                0.62307,                0.65821,                0.66371,                0.35088,                0.64154,                0.67772,                0.68479,                0.33991,                 1.5556,                 1.9984,                 1.1741,                 1.1908,              0.0017921,              0.0017921,              0.0017921
