                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5648,                 3.4051,                  2.405,                 1.9666,                  0.444,                0.41724,                0.35484,                0.13116,                0.48389,                0.47642,                0.42703,                0.15763,                 2.1963,                 2.7277,                 1.9667,                 1.5544,             0.00065854,             0.00065854,             0.00065854
                      1,                 1.8752,                 2.6553,                  1.573,                 1.4167,                 0.5475,                0.55322,                0.54036,                0.25437,                0.56295,                0.56883,                0.56031,                0.24289,                 1.7291,                 2.3805,                 1.6887,                 1.2992,              0.0013219,              0.0013219,              0.0013219
                      2,                 1.8071,                  2.528,                 1.4877,                 1.3459,                0.53055,                0.56976,                0.52688,                0.23277,                0.54175,                0.58179,                0.54558,                0.22564,                 1.8271,                 2.5293,                 1.7906,                 1.3243,               0.001982,               0.001982,               0.001982
                      3,                 1.7766,                 2.4958,                 1.4832,                 1.3085,                0.54363,                 0.5678,                0.53275,                0.24256,                0.56996,                0.58894,                0.56745,                0.25393,                 1.8406,                  2.279,                 1.5737,                 1.3111,              0.0019852,              0.0019852,              0.0019852
                      4,                 1.7185,                 2.4017,                 1.4375,                 1.2979,                 0.5725,                0.58732,                0.58021,                0.28187,                0.60505,                0.58764,                0.59952,                0.26007,                 1.7094,                 2.3555,                 1.3509,                 1.2805,              0.0019852,              0.0019852,              0.0019852
                      5,                 1.7055,                 2.3741,                 1.4274,                 1.2737,                0.57168,                 0.5987,                0.57105,                0.25688,                0.59542,                0.61366,                 0.6002,                0.26747,                 1.8056,                  2.295,                  1.422,                 1.3076,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.6824,                 2.3486,                  1.394,                 1.2549,                0.57483,                0.59533,                0.58647,                0.29052,                0.58553,                0.60293,                0.59934,                0.27326,                 1.6531,                 2.2094,                  1.371,                 1.2404,              0.0019753,              0.0019753,              0.0019753
                      7,                 1.6565,                 2.3511,                 1.3885,                 1.2483,                0.56214,                0.59707,                0.55215,                0.26506,                0.57823,                0.61035,                 0.5722,                0.24672,                 1.7203,                 2.4009,                 1.4382,                 1.2698,              0.0019703,              0.0019703,              0.0019703
                      8,                 1.6528,                 2.2917,                  1.386,                 1.2357,                0.54448,                0.61268,                0.57315,                0.27651,                0.56029,                0.60665,                0.57481,                0.24029,                 1.6458,                 2.2785,                 1.3306,                 1.2451,              0.0019654,              0.0019654,              0.0019654
                      9,                 1.6302,                 2.2593,                 1.3459,                 1.2324,                0.59615,                0.61398,                0.61832,                0.30293,                 0.6031,                0.61333,                 0.6192,                0.26384,                 1.6753,                 2.4066,                 1.3132,                 1.2615,              0.0019604,              0.0019604,              0.0019604
