                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1146,                 4.2486,                   3.03,                 2.3746,                0.36274,                0.30451,                 0.2316,                0.08729,                0.38101,                0.30846,                0.24327,                0.08641,                 2.3876,                 3.2557,                 2.2902,                  1.745,             0.00065854,             0.00065854,             0.00065854
                      1,                 2.2697,                 3.2119,                 2.0894,                 1.5923,                0.46466,                0.48325,                0.42015,                 0.1669,                0.47662,                0.48598,                0.42916,                0.15432,                  1.966,                 2.8463,                 1.9946,                 1.3297,              0.0013219,              0.0013219,              0.0013219
                      2,                 2.0788,                 2.9467,                 1.8715,                 1.4125,                0.49523,                 0.5135,                0.46302,                0.19886,                0.50309,                0.50738,                0.46397,                0.17974,                 1.8452,                 2.6495,                 1.8757,                  1.271,               0.001982,               0.001982,               0.001982
                      3,                 2.0254,                 2.8648,                 1.8206,                 1.3672,                0.53521,                0.50049,                0.48888,                0.21748,                0.56496,                0.49528,                0.50153,                0.19977,                 1.8153,                 2.6049,                 1.8139,                 1.2694,              0.0019852,              0.0019852,              0.0019852
                      4,                 1.9518,                 2.7906,                 1.7557,                 1.3257,                0.53873,                0.50699,                0.50247,                0.22335,                 0.5559,                0.52683,                0.52856,                 0.2282,                 1.8101,                 2.4417,                 1.6836,                 1.2328,              0.0019852,              0.0019852,              0.0019852
                      5,                 1.9244,                 2.7123,                  1.729,                 1.2896,                0.52816,                0.54312,                0.51787,                0.22407,                0.55068,                0.53496,                0.53009,                0.21585,                 1.8065,                 2.5359,                  1.662,                 1.2317,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.8986,                 2.6872,                 1.7119,                  1.276,                0.55289,                0.54667,                0.53439,                0.24391,                0.56577,                0.55464,                0.54968,                0.23804,                 1.7428,                 2.3367,                 1.5514,                 1.2067,              0.0019753,              0.0019753,              0.0019753
                      7,                 1.8776,                 2.6537,                 1.6794,                 1.2671,                0.56892,                0.54569,                0.54994,                0.25167,                0.58011,                0.55642,                0.56792,                0.24404,                 1.7381,                 2.3493,                  1.496,                 1.2036,              0.0019703,              0.0019703,              0.0019703
                      8,                 1.8794,                 2.6205,                 1.6779,                 1.2519,                0.55635,                0.57746,                0.54611,                0.25426,                0.56146,                0.58634,                0.55428,                0.23836,                 1.7275,                 2.2919,                 1.4613,                 1.1905,              0.0019654,              0.0019654,              0.0019654
                      9,                 1.8376,                 2.5708,                 1.6341,                 1.2494,                0.56238,                0.57106,                0.55337,                0.25786,                0.56707,                0.57659,                0.55361,                0.22355,                 1.7031,                 2.3389,                 1.5617,                 1.1834,              0.0019604,              0.0019604,              0.0019604
                     10,                 1.8523,                 2.5769,                 1.6167,                 1.2418,                0.58319,                0.55675,                0.55419,                0.25735,                0.58304,                0.55837,                0.55416,                0.22481,                 1.6993,                 2.5558,                 1.4719,                 1.1801,              0.0019555,              0.0019555,              0.0019555
                     11,                 1.8386,                 2.5769,                 1.6173,                  1.238,                0.55138,                0.55902,                0.54955,                0.26421,                0.58485,                0.54472,                0.55712,                0.24012,                 1.6939,                 2.4166,                 1.4485,                 1.1851,              0.0019505,              0.0019505,              0.0019505
                     12,                 1.8311,                 2.5623,                 1.6082,                 1.2388,                0.55761,                 0.5677,                0.55466,                0.25903,                0.57623,                0.57821,                0.57417,                0.25214,                 1.7162,                 2.2232,                 1.5064,                 1.1785,              0.0019456,              0.0019456,              0.0019456
                     13,                 1.8173,                 2.5342,                 1.5902,                 1.2246,                0.57929,                0.57919,                 0.5754,                0.27226,                 0.5915,                0.58407,                0.57749,                0.24963,                 1.6974,                 2.2514,                 1.4213,                 1.1809,              0.0019406,              0.0019406,              0.0019406
                     14,                 1.7862,                 2.4868,                 1.5718,                 1.2076,                0.58252,                0.60215,                0.59104,                 0.2815,                0.59302,                0.60846,                0.60136,                0.25803,                 1.6813,                 2.3361,                 1.4267,                 1.1625,              0.0019357,              0.0019357,              0.0019357
                     15,                 1.8134,                 2.5154,                 1.5539,                 1.2177,                0.57201,                 0.5678,                0.57279,                0.27237,                0.57889,                0.58742,                0.58638,                0.25064,                 1.7043,                 2.4042,                 1.4501,                 1.1761,              0.0019307,              0.0019307,              0.0019307
                     16,                 1.7848,                 2.4893,                  1.562,                 1.2142,                 0.5474,                0.58797,                0.56339,                0.27067,                0.55683,                0.59707,                0.57975,                0.25738,                 1.7109,                   2.34,                 1.4361,                 1.1785,              0.0019258,              0.0019258,              0.0019258
                     17,                 1.7875,                 2.4567,                 1.5374,                 1.2081,                0.59223,                0.58797,                0.60001,                0.29675,                0.62023,                0.58569,                0.61344,                0.27292,                 1.6649,                  2.286,                 1.4049,                 1.1609,              0.0019208,              0.0019208,              0.0019208
                     18,                 1.7713,                 2.4599,                 1.5318,                  1.202,                0.58444,                0.59502,                 0.5945,                0.29517,                0.58317,                0.59252,                 0.5894,                0.25077,                 1.6351,                 2.3219,                 1.3816,                 1.1562,              0.0019159,              0.0019159,              0.0019159
                     19,                 1.7618,                 2.4398,                 1.5135,                 1.1957,                0.58438,                0.58732,                0.58873,                0.28698,                0.59807,                0.59577,                0.59993,                0.26029,                 1.6691,                 2.3897,                 1.3844,                 1.1501,              0.0019109,              0.0019109,              0.0019109
                     20,                 1.7685,                  2.441,                 1.5308,                 1.2048,                0.57642,                0.57138,                0.58047,                0.28243,                0.59086,                0.58569,                0.59482,                0.26926,                 1.6923,                 2.2365,                 1.4085,                 1.1636,               0.001906,               0.001906,               0.001906
                     21,                 1.7367,                 2.4158,                 1.5174,                 1.1841,                0.58525,                0.58211,                0.58327,                0.27816,                0.60411,                0.60392,                  0.614,                0.28434,                 1.6977,                  2.173,                   1.44,                 1.1599,               0.001901,               0.001901,               0.001901
                     22,                 1.7532,                 2.4315,                 1.5109,                 1.1933,                0.58995,                0.59805,                0.60666,                0.29054,                0.60066,                0.61919,                0.62921,                0.28703,                 1.6899,                 2.1689,                 1.3764,                 1.1559,              0.0018961,              0.0018961,              0.0018961
                     23,                  1.766,                 2.4406,                 1.5189,                  1.198,                0.60144,                0.57859,                0.59387,                0.28457,                0.61384,                0.60069,                0.62022,                0.28801,                 1.7189,                 2.1553,                 1.3695,                  1.173,              0.0018911,              0.0018911,              0.0018911
                     24,                 1.7562,                 2.4427,                 1.5409,                  1.187,                0.58877,                0.58894,                0.59513,                0.29168,                0.60721,                0.60065,                0.61114,                0.27273,                 1.6374,                 2.3231,                 1.3623,                 1.1416,              0.0018862,              0.0018862,              0.0018862
                     25,                 1.7534,                 2.4037,                  1.494,                 1.1917,                0.60276,                0.61138,                0.61205,                 0.2901,                0.60997,                0.61741,                0.61951,                0.27907,                 1.6998,                 2.2558,                 1.3648,                 1.1662,              0.0018812,              0.0018812,              0.0018812
                     26,                 1.7418,                 2.4212,                  1.491,                 1.1882,                0.57273,                 0.6065,                0.59643,                0.30088,                0.58803,                0.61171,                0.60763,                0.27508,                 1.6235,                 2.1915,                  1.374,                 1.1371,              0.0018763,              0.0018763,              0.0018763
                     27,                 1.7401,                 2.4052,                 1.4956,                 1.1816,                0.59522,                0.58081,                0.59216,                0.28437,                0.60014,                 0.5922,                0.60327,                0.27067,                 1.6925,                 2.2542,                 1.3789,                 1.1655,              0.0018713,              0.0018713,              0.0018713
                     28,                 1.7358,                 2.3946,                 1.4767,                 1.1821,                0.59187,                0.59563,                 0.5961,                 0.2897,                 0.6061,                0.60228,                 0.6106,                0.28651,                 1.7118,                 2.2393,                 1.3625,                 1.1692,              0.0018663,              0.0018663,              0.0018663
                     29,                 1.7316,                 2.3829,                 1.4721,                 1.1801,                0.61648,                0.60168,                0.61712,                0.30009,                0.62581,                0.61078,                0.62781,                0.28429,                 1.6478,                 2.2532,                 1.3458,                 1.1541,              0.0018614,              0.0018614,              0.0018614
                     30,                 1.7383,                 2.3989,                 1.4874,                 1.1813,                0.60488,                0.59415,                0.60315,                0.29896,                0.62811,                0.58569,                0.61289,                0.28147,                 1.6327,                 2.2002,                 1.3571,                 1.1365,              0.0018564,              0.0018564,              0.0018564
                     31,                 1.7287,                 2.3773,                 1.4687,                 1.1753,                0.61068,                0.60683,                0.61794,                0.30978,                0.62474,                0.61886,                0.63204,                0.29387,                 1.6231,                 2.2043,                 1.3345,                 1.1371,              0.0018515,              0.0018515,              0.0018515
