                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8852,                 3.7578,                   2.77,                 2.1638,                0.40897,                0.40189,                0.31766,                0.12356,                0.44051,                0.41531,                0.35241,                0.12662,                  2.241,                 3.0955,                 2.0578,                 1.5132,             0.00065854,             0.00065854,             0.00065854
                      1,                 2.0555,                 2.8844,                 1.7969,                 1.4584,                0.53432,                0.50822,                0.49203,                0.21575,                0.53895,                0.51512,                0.49703,                0.19688,                 1.8597,                 2.5139,                  1.674,                 1.2924,              0.0013219,              0.0013219,              0.0013219
                      2,                 1.9454,                 2.7233,                 1.6721,                  1.349,                0.54593,                0.54276,                 0.5209,                0.23449,                0.56146,                0.55317,                0.53824,                0.23379,                 1.8183,                 2.4516,                 1.5966,                 1.2671,               0.001982,               0.001982,               0.001982
                      3,                 1.8966,                 2.6402,                 1.6294,                 1.3037,                0.56158,                0.55252,                0.53951,                0.24134,                0.57447,                 0.5652,                0.55842,                0.24416,                 1.8524,                 2.3716,                 1.4607,                 1.2793,              0.0019852,              0.0019852,              0.0019852
                      4,                 1.8343,                 2.5681,                 1.5692,                 1.2796,                 0.5336,                0.59864,                0.55354,                0.25579,                0.55013,                0.61124,                0.57347,                0.24878,                 1.7744,                 2.4294,                 1.4799,                 1.2191,              0.0019852,              0.0019852,              0.0019852
                      5,                 1.7982,                 2.5067,                 1.5399,                 1.2415,                0.55945,                0.57734,                0.55437,                0.25094,                0.56924,                0.58275,                0.56433,                0.24511,                 1.8144,                 2.4358,                 1.4891,                 1.2326,              0.0019802,              0.0019802,              0.0019802
                      6,                  1.774,                 2.4693,                 1.5269,                 1.2275,                0.58109,                0.57301,                0.57225,                0.27623,                0.57962,                0.56715,                0.56757,                0.23668,                 1.6825,                 2.4387,                 1.3996,                 1.1926,              0.0019753,              0.0019753,              0.0019753
                      7,                 1.7528,                 2.4655,                 1.5035,                  1.222,                0.57744,                0.57904,                 0.5788,                0.28637,                0.58373,                0.57691,                0.58203,                0.25211,                 1.6682,                 2.3268,                 1.3936,                 1.1703,              0.0019703,              0.0019703,              0.0019703
                      8,                 1.7596,                 2.4344,                 1.4959,                 1.2105,                0.59228,                0.58894,                0.58914,                0.29051,                0.60661,                0.58667,                0.59258,                0.26464,                 1.6696,                 2.2419,                 1.3439,                 1.1721,              0.0019654,              0.0019654,              0.0019654
                      9,                 1.7159,                 2.3675,                 1.4588,                  1.202,                0.60095,                0.60875,                0.61757,                0.30184,                0.61535,                0.60618,                0.62175,                0.27216,                 1.6541,                 2.2745,                 1.3877,                 1.1572,              0.0019604,              0.0019604,              0.0019604
                     10,                 1.7172,                 2.3643,                 1.4312,                 1.1888,                0.59647,                0.60712,                0.60424,                0.29752,                0.59846,                0.60827,                0.60129,                0.25249,                 1.6424,                 2.4159,                 1.3177,                 1.1662,              0.0019555,              0.0019555,              0.0019555
                     11,                 1.7125,                 2.3736,                 1.4277,                 1.1875,                0.59763,                 0.6078,                0.60855,                0.30197,                0.61616,                0.60452,                0.61723,                0.27323,                 1.6785,                 2.2935,                 1.3007,                 1.1755,              0.0019505,              0.0019505,              0.0019505
                     12,                 1.7081,                  2.363,                 1.4269,                 1.1944,                0.59873,                0.60715,                0.60778,                 0.2938,                0.61979,                 0.6039,                0.62005,                0.28727,                 1.6736,                 2.0959,                 1.3546,                 1.1648,              0.0019456,              0.0019456,              0.0019456
                     13,                 1.6853,                 2.3194,                 1.4054,                 1.1747,                 0.6122,                0.62276,                0.62545,                0.30199,                0.62786,                 0.6387,                0.64661,                0.29921,                 1.6832,                 2.0679,                 1.3236,                 1.1741,              0.0019406,              0.0019406,              0.0019406
                     14,                 1.6601,                 2.2727,                 1.3822,                 1.1663,                0.62478,                0.62002,                0.63654,                0.31587,                0.64497,                0.62504,                0.65088,                0.29606,                 1.6532,                 2.2343,                  1.277,                 1.1498,              0.0019357,              0.0019357,              0.0019357
                     15,                 1.6782,                 2.3119,                 1.3764,                 1.1701,                0.59907,                0.61419,                0.62146,                0.30909,                 0.6087,                0.61717,                0.62549,                0.27755,                 1.6522,                 2.3459,                 1.3308,                 1.1437,              0.0019307,              0.0019307,              0.0019307
                     16,                 1.6647,                 2.2866,                 1.3882,                 1.1744,                 0.6142,                0.61506,                0.61653,                0.31077,                0.62118,                0.62016,                  0.626,                  0.288,                 1.6399,                 2.2591,                 1.3211,                 1.1525,              0.0019258,              0.0019258,              0.0019258
                     17,                 1.6465,                 2.2496,                 1.3637,                 1.1611,                0.62005,                0.62889,                0.63771,                0.31913,                0.63707,                0.62439,                0.63859,                0.28473,                 1.6632,                  2.341,                 1.2837,                  1.148,              0.0019208,              0.0019208,              0.0019208
                     18,                 1.6435,                 2.2532,                 1.3454,                 1.1578,                0.62494,                0.62081,                0.63434,                0.31639,                0.62617,                0.62894,                0.64179,                0.29493,                 1.6334,                 2.1771,                 1.2808,                   1.15,              0.0019159,              0.0019159,              0.0019159
                     19,                 1.6358,                 2.2484,                 1.3395,                 1.1518,                0.62304,                0.61398,                0.63919,                0.31583,                0.63378,                0.63057,                0.65963,                0.30242,                 1.6398,                 2.1989,                  1.265,                 1.1379,              0.0019109,              0.0019109,              0.0019109
