                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1894,                 3.0194,                 2.2399,                 1.7434,                0.44749,                0.49496,                0.39385,                0.16968,                0.46295,                0.50852,                0.40798,                0.16494,                 1.9112,                 2.6151,                 1.7135,                 1.4202,             0.00065854,             0.00065854,             0.00065854
                      1,                 1.7587,                 2.4931,                 1.5376,                 1.3922,                0.42506,                0.51644,                0.38825,                0.17705,                0.43665,                0.53138,                0.40638,                0.17358,                 1.8665,                 2.5232,                 1.9362,                 1.3845,              0.0013186,              0.0013186,              0.0013186
                      2,                   1.74,                 2.4371,                 1.5109,                 1.3637,                0.50206,                0.50101,                0.45633,                0.18838,                0.51917,                0.52952,                0.48147,                0.18445,                 2.0077,                 2.8533,                 1.7996,                 1.4421,              0.0019722,              0.0019722,              0.0019722
                      3,                 1.7663,                 2.4251,                 1.5947,                  1.377,                0.51709,                0.50569,                0.48124,                0.22823,                0.51157,                0.52182,                0.48248,                0.20732,                 1.8133,                 2.5402,                 1.4882,                 1.3825,              0.0019703,              0.0019703,              0.0019703
                      4,                 1.6946,                 2.3789,                 1.4744,                 1.3153,                0.46399,                0.52488,                0.41247,                0.19355,                0.47003,                0.53171,                0.41866,                0.17229,                 1.7522,                 2.3001,                 1.6599,                 1.3273,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.6909,                 2.3787,                 1.4627,                 1.3123,                  0.565,                0.55805,                0.56244,                0.26649,                0.57662,                0.56683,                0.57225,                0.24463,                 1.8059,                 2.2477,                 1.3586,                 1.3578,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.6808,                 2.3835,                  1.431,                 1.3103,                0.58166,                0.54485,                0.55621,                0.28123,                0.59936,                0.56144,                0.57333,                0.26738,                 1.6745,                 2.3453,                  1.362,                 1.2961,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.6668,                 2.2698,                 1.4039,                 1.3018,                 0.5816,                0.57171,                0.57866,                0.27277,                0.59647,                 0.5961,                0.59748,                0.27252,                 1.7561,                 2.3501,                 1.4674,                 1.3243,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.6113,                 2.1991,                 1.3653,                 1.2758,                0.59092,                0.58081,                0.58598,                0.27608,                0.60312,                 0.5948,                0.60268,                0.26676,                 1.7428,                 2.1048,                 1.3831,                  1.313,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.6143,                 2.2119,                 1.3724,                 1.2739,                  0.584,                0.58309,                0.59092,                0.30094,                0.60373,                 0.5797,                0.60036,                0.27462,                 1.6121,                 2.2357,                  1.325,                 1.2625,              0.0019208,              0.0019208,              0.0019208
