                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9992,                 3.6291,                 2.1491,                 1.7165,                0.58021,                0.57073,                0.58141,                0.28178,                0.60554,                0.58244,                0.59899,                0.27143,                 1.6684,                 2.5193,                 1.4098,                 1.4691,               0.066712,             3.3321e-05,             3.3321e-05
                      1,                 1.8618,                 3.4523,                 1.9438,                 1.6359,                0.63527,                0.63665,                0.64946,                0.34067,                0.65149,                0.65291,                0.66663,                0.33305,                 1.5274,                 2.0513,                 1.3092,                  1.375,               0.033411,             6.5335e-05,             6.5335e-05
                      2,                 1.7805,                 3.3689,                 1.8509,                  1.599,                0.62918,                0.66435,                0.66802,                 0.3584,                0.64579,                0.68008,                0.68765,                0.34987,                  1.507,                  2.038,                 1.2331,                 1.3797,             0.00010812,             9.6028e-05,             9.6028e-05
                      3,                 1.7325,                 3.3359,                 1.7981,                 1.5812,                 0.6597,                0.65881,                0.67496,                0.36156,                0.67982,                0.66894,                0.69218,                0.35529,                 1.5123,                 1.9956,                 1.2066,                   1.38,              9.406e-05,              9.406e-05,              9.406e-05
                      4,                 1.7109,                  3.323,                 1.7737,                 1.5742,                0.65861,                0.64943,                0.68657,                0.37865,                0.67715,                0.66179,                0.70835,                0.36895,                 1.4693,                 1.9486,                 1.2001,                 1.3583,              9.406e-05,              9.406e-05,              9.406e-05
                      5,                 1.6863,                 3.2926,                 1.7485,                 1.5646,                 0.6529,                0.63772,                0.65975,                0.36775,                0.66453,                0.65138,                 0.6774,                0.35743,                 1.4721,                 2.0144,                 1.2387,                 1.3622,              9.208e-05,              9.208e-05,              9.208e-05
                      6,                 1.6773,                   3.29,                 1.7326,                 1.5598,                0.66137,                0.65167,                 0.6887,                0.37813,                0.67703,                0.66263,                0.70461,                0.36525,                 1.4699,                 1.9878,                  1.185,                 1.3743,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 1.6643,                  3.271,                 1.7149,                 1.5529,                0.64837,                0.59772,                0.64767,                0.34886,                0.67325,                0.60846,                0.67127,                0.34001,                 1.4801,                  2.158,                 1.3479,                 1.3742,              8.812e-05,              8.812e-05,              8.812e-05
                      8,                  1.657,                 3.2634,                 1.6989,                  1.546,                0.64421,                0.63475,                0.66052,                0.35852,                0.65894,                0.64423,                0.67624,                0.34498,                 1.4668,                 2.1062,                 1.2967,                 1.3529,              8.614e-05,              8.614e-05,              8.614e-05
                      9,                 1.6493,                 3.2518,                  1.688,                 1.5422,                0.60357,                0.57659,                0.61096,                0.33176,                0.62029,                 0.5812,                0.62908,                0.31853,                   1.49,                 2.3056,                 1.4929,                 1.3858,              8.416e-05,              8.416e-05,              8.416e-05
