                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0991,                 3.7683,                 1.9131,                 1.4179,                 0.4996,                0.46309,                0.43832,                 0.1848,                0.52238,                0.48618,                0.47837,                0.18955,                   1.96,                 2.6774,                 1.5665,                 1.3635,               0.066724,             3.3309e-05,             3.3309e-05
                      1,                 1.9362,                 3.5628,                 1.7024,                 1.3411,                0.60136,                0.60585,                0.60949,                0.31554,                0.60273,                0.60585,                0.60706,                0.27161,                 1.5308,                 2.2345,                 1.2588,                 1.1654,               0.033424,             6.6496e-05,             6.6496e-05
                      2,                 1.8652,                 3.4599,                 1.6043,                 1.3113,                0.63528,                0.62179,                0.64778,                0.33401,                0.64074,                 0.6387,                0.66407,                0.32677,                 1.5712,                 2.0319,                 1.1733,                 1.1794,             0.00012371,             9.9536e-05,             9.9536e-05
                      3,                 1.8251,                 3.4204,                 1.5623,                 1.2948,                0.63501,                0.62829,                0.64974,                 0.3435,                0.64093,                0.63415,                0.65426,                0.31372,                 1.5234,                 2.1198,                 1.1606,                 1.1689,              9.934e-05,              9.934e-05,              9.934e-05
                      4,                 1.8084,                 3.3978,                 1.5381,                 1.2888,                 0.6402,                   0.64,                0.66226,                 0.3555,                0.65362,                 0.6382,                0.66281,                0.30907,                 1.4925,                 2.1537,                 1.1524,                 1.1495,              9.934e-05,              9.934e-05,              9.934e-05
                      5,                 1.8006,                 3.3958,                 1.5292,                 1.2833,                 0.6306,                0.62843,                0.64652,                0.34635,                0.63078,                 0.6439,                0.65065,                0.31629,                 1.4947,                 2.0844,                 1.1706,                 1.1579,              9.912e-05,              9.912e-05,              9.912e-05
                      6,                 1.7847,                 3.3759,                 1.5095,                 1.2782,                0.63208,                0.63902,                0.65655,                0.35188,                0.62353,                0.65228,                  0.654,                0.31222,                 1.4949,                 2.1682,                 1.1489,                 1.1669,               9.89e-05,               9.89e-05,               9.89e-05
                      7,                 1.7715,                 3.3546,                 1.5055,                   1.27,                0.56516,                0.55285,                0.55782,                 0.2976,                0.55913,                0.54525,                0.54179,                0.24978,                 1.5113,                 2.4891,                 1.3647,                 1.1726,              9.868e-05,              9.868e-05,              9.868e-05
                      8,                 1.7668,                 3.3553,                 1.4889,                  1.274,                 0.6372,                0.62634,                0.65714,                0.35302,                0.63952,                0.62862,                0.65631,                0.31299,                 1.4829,                 2.2023,                 1.1726,                 1.1615,              9.846e-05,              9.846e-05,              9.846e-05
                      9,                 1.7586,                 3.3457,                 1.4795,                 1.2696,                  0.602,                0.61291,                0.61829,                0.33176,                0.60333,                 0.6078,                0.61312,                 0.2881,                 1.4831,                 2.2758,                 1.2286,                 1.1617,              9.824e-05,              9.824e-05,              9.824e-05
                     10,                 1.7561,                 3.3422,                 1.4705,                 1.2657,                0.63565,                0.62146,                0.65559,                0.35487,                0.63587,                0.62894,                0.65359,                 0.3053,                 1.4698,                 2.1719,                  1.138,                 1.1541,              9.802e-05,              9.802e-05,              9.802e-05
                     11,                 1.7462,                 3.3289,                 1.4611,                 1.2622,                0.59584,                0.61366,                0.62084,                0.33193,                 0.5931,                0.61385,                0.61848,                0.28749,                 1.4877,                 2.2498,                 1.2192,                 1.1617,               9.78e-05,               9.78e-05,               9.78e-05
                     12,                 1.7386,                 3.3255,                 1.4507,                 1.2623,                0.64516,                 0.6387,                0.66853,                0.36264,                0.65124,                0.64228,                0.66788,                0.31854,                 1.4735,                 2.1044,                 1.1205,                 1.1561,              9.758e-05,              9.758e-05,              9.758e-05
                     13,                 1.7315,                 3.3103,                 1.4447,                 1.2616,                0.64609,                0.65138,                0.67438,                0.35969,                 0.6452,                0.66309,                0.67494,                0.31959,                 1.4855,                 2.1848,                 1.1345,                 1.1612,              9.736e-05,              9.736e-05,              9.736e-05
                     14,                 1.7193,                 3.3086,                 1.4331,                 1.2591,                0.64288,                0.64098,                 0.6679,                0.36439,                0.64656,                0.64962,                0.67098,                0.32474,                 1.4757,                 2.1163,                 1.1281,                 1.1645,              9.714e-05,              9.714e-05,              9.714e-05
                     15,                 1.7201,                 3.3078,                  1.436,                 1.2612,                0.63381,                0.65789,                0.66716,                0.36455,                0.64069,                0.65699,                0.66678,                0.31637,                 1.4714,                 2.1434,                 1.1218,                 1.1605,              9.692e-05,              9.692e-05,              9.692e-05
                     16,                 1.7104,                 3.3139,                 1.4299,                 1.2572,                0.60511,                0.62699,                0.63579,                0.34582,                0.61824,                0.62439,                0.63739,                0.30569,                 1.4746,                 2.2026,                 1.2007,                 1.1618,               9.67e-05,               9.67e-05,               9.67e-05
                     17,                 1.7077,                 3.3015,                 1.4182,                 1.2541,                0.60472,                0.63545,                 0.6292,                0.34119,                0.60905,                   0.64,                0.62873,                0.29799,                 1.4781,                 2.2472,                 1.1859,                 1.1656,              9.648e-05,              9.648e-05,              9.648e-05
                     18,                 1.6945,                 3.2973,                 1.4041,                 1.2495,                0.64483,                0.66667,                 0.6779,                0.37111,                0.66135,                0.66621,                0.68626,                0.32922,                 1.4581,                 2.0595,                 1.1021,                 1.1482,              9.626e-05,              9.626e-05,              9.626e-05
                     19,                 1.6917,                 3.2827,                 1.3967,                  1.249,                0.64906,                0.67772,                0.68808,                0.37635,                 0.6528,                0.68163,                0.69132,                 0.3312,                 1.4549,                 2.0564,                 1.0722,                 1.1526,              9.604e-05,              9.604e-05,              9.604e-05
                     20,                  1.685,                 3.2812,                 1.3943,                  1.247,                 0.6274,                0.65659,                0.66205,                0.35772,                0.63833,                0.65777,                0.66528,                0.31116,                 1.4682,                 2.1599,                  1.127,                 1.1532,              9.582e-05,              9.582e-05,              9.582e-05
                     21,                 1.6861,                  3.275,                 1.3903,                 1.2477,                0.63853,                0.65719,                0.66471,                0.36176,                0.64931,                0.65366,                0.66574,                0.31259,                 1.4691,                 2.1345,                 1.1071,                  1.161,               9.56e-05,               9.56e-05,               9.56e-05
