epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,2.2667,3.0967,2.1682,1.7692,0.47256,0.50829,0.44594,0.17548,0.50733,0.54569,0.49586,0.19494,2.0648,2.5523,1.7605,1.468,0.00065854,0.00065854,0.00065854
1,1.7666,2.5538,1.4747,1.3809,0.4613,0.53078,0.41585,0.20143,0.46751,0.53366,0.41608,0.17334,1.6902,2.5131,2.6335,1.3124,0.0013219,0.0013219,0.0013219
2,1.7546,2.5055,1.4353,1.3298,0.56477,0.59089,0.55461,0.24844,0.59426,0.61205,0.59141,0.2565,1.8288,2.382,1.6312,1.3453,0.001982,0.001982,0.001982
3,1.724,2.4419,1.4126,1.2968,0.54937,0.56846,0.53021,0.23263,0.57034,0.58569,0.56394,0.24564,1.8102,2.2537,1.6425,1.3297,0.0019852,0.0019852,0.0019852
4,1.6773,2.388,1.3885,1.2881,0.59189,0.58894,0.58363,0.28131,0.60142,0.58699,0.58524,0.25486,1.7347,2.4051,1.5619,1.3052,0.0019852,0.0019852,0.0019852
5,1.6805,2.3707,1.3842,1.2737,0.56858,0.58992,0.56852,  0.26927,0.58821,0.59382,0.5857,0.26059,1.7443,2.3646,1.5609,1.3033,0.0019802,0.0019802,0.0019802
6,1.6606,2.3335,1.3702,1.2658,0.54139,0.60195,0.53021,0.2585,0.55383,0.61277,0.54748,0.24925,1.6938,2.2307,1.3862,1.2812,0.0019753,0.0019753,0.0019753
7,1.6276,2.2894,1.3586,1.249,0.60143,0.59024,0.57842,0.27455,0.6122,0.60911,0.59563,0.27285,1.7031,2.1941,1.382,1.2893,0.0019703,0.0019703,0.0019703
8,1.6236,2.2588,1.3467,1.2351,0.59138,0.61431,0.60518,0.28777,0.62197,0.63777,0.64031,0.29553,1.7061,2.0804,1.3287,1.2854,0.0019654,0.0019654,0.0019654
9,1.5998,2.2327,1.315,1.2367,0.58345,0.58927,0.59025,0.28544,0.58145,0.57376,0.57314,0.23624,1.6767,2.444,1.3148,1.2768,0.0019604,0.0019604,0.0019604
10,1.6138,2.2342,1.2941,1.223,0.60877,0.60618,0.59648,0.2937,0.6139,0.6078,0.60304,0.26319,1.6517,2.3184,1.3416,1.2692,0.0019555,0.0019555,0.0019555
11,1.5957,2.242,1.2959,1.2208,0.60623,0.58211,0.59741,0.30319,0.6107,0.58472,0.59967,0.27268,1.642,2.3169,1.293,1.2551,0.0019505,0.0019505,0.0019505
12,1.5864,2.2263,1.2959,1.2239,0.59956,0.62666,0.62139,0.30864,0.61699,0.64487,0.64639,0.30714,1.6409,2.0459,1.3008,1.2545,0.0019456,0.0019456,0.0019456
13,1.5583,2.1572,1.2618,1.204,0.61952,0.60455,0.62559,0.31983,0.63716,0.59707,0.63241,0.28776,1.6004,2.1819,1.2911,1.24,0.0019406,0.0019406,0.0019406
14,1.5527,2.1394,1.266,1.2037,0.60948,0.61615,0.62957,0.31749,0.6235,0.63285,0.64912,0.3011,1.6359,2.1892,1.242,1.2499,0.0019357,0.0019357,0.0019357
15,1.5577,2.1665,1.2463,1.1986,0.59973,0.60358,0.60348,0.30972,0.60729,0.62244,0.61481,0.2861,1.6058,2.2702,1.3874,1.2413,0.0019307,0.0019307,0.0019307
16,1.5617,2.1617,1.2812,1.2124,0.62598,0.64033,0.6518,0.33195,0.64251,0.65724,0.66963,0.31496,1.6039,2.1914,1.2246,1.2209,0.0019258,0.0019258,0.0019258
