                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3342,                 2.2513,                 1.8208,                0.51807,                0.48033,                0.46426,                0.19064,                   1.96,                 1.9371,                 1.4858,             0.00065854,             0.00065854,             0.00065854
                      1,                 1.7968,                 1.5221,                 1.4068,                0.47858,                0.54981,                0.45904,                0.21058,                 1.7672,                 2.1989,                 1.3578,              0.0013219,              0.0013219,              0.0013219
                      2,                 1.7466,                 1.4504,                 1.3417,                0.56106,                0.56195,                0.53211,                0.24124,                 1.7913,                 1.7525,                 1.3543,               0.001982,               0.001982,               0.001982
                      3,                 1.7232,                 1.4458,                 1.3183,                0.56715,                0.59317,                0.57013,                0.27029,                 1.7223,                 1.3967,                 1.3436,              0.0019852,              0.0019852,              0.0019852
                      4,                  1.686,                 1.3834,                 1.3073,                0.59445,                0.60299,                0.59242,                0.28537,                 1.7116,                 1.3882,                 1.3101,              0.0019852,              0.0019852,              0.0019852
                      5,                 1.6668,                 1.3886,                 1.2892,                0.56513,                0.58764,                0.57609,                0.26515,                 1.7631,                 1.4571,                 1.3303,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.6532,                 1.3611,                 1.2772,                0.57842,                0.57854,                0.56294,                0.28037,                 1.6458,                 1.3456,                 1.2813,              0.0019753,              0.0019753,              0.0019753
                      7,                 1.6276,                 1.3401,                 1.2701,                0.57627,                0.56358,                0.56728,                0.28289,                 1.6587,                 1.4427,                    1.3,              0.0019703,              0.0019703,              0.0019703
                      8,                 1.6117,                 1.3478,                 1.2507,                0.59634,                0.59415,                0.59732,                0.27642,                 1.7957,                 1.3047,                 1.3507,              0.0019654,              0.0019654,              0.0019654
                      9,                 1.6031,                  1.311,                 1.2584,                0.60652,                0.59415,                0.61268,                0.30324,                 1.6643,                 1.3252,                 1.2947,              0.0019604,              0.0019604,              0.0019604
                     10,                 1.6185,                 1.2956,                 1.2491,                0.61228,                0.61073,                 0.6121,                0.30771,                 1.6274,                 1.2447,                 1.2872,              0.0019555,              0.0019555,              0.0019555
                     11,                 1.5878,                 1.2818,                 1.2418,                0.58898,                0.60228,                0.58662,                0.29589,                 1.6252,                 1.3033,                 1.2736,              0.0019505,              0.0019505,              0.0019505
                     12,                 1.5808,                 1.2828,                 1.2479,                0.63196,                0.61268,                 0.6255,                0.31118,                 1.6461,                 1.2294,                 1.2825,              0.0019456,              0.0019456,              0.0019456
                     13,                 1.5652,                 1.2573,                 1.2279,                0.61223,                0.63024,                0.61632,                 0.3171,                 1.5863,                 1.2431,                 1.2579,              0.0019406,              0.0019406,              0.0019406
                     14,                 1.5446,                 1.2583,                 1.2242,                0.65006,                 0.6029,                0.64472,                0.33142,                 1.5845,                 1.2264,                  1.266,              0.0019357,              0.0019357,              0.0019357
                     15,                 1.5531,                 1.2519,                 1.2203,                0.61829,                0.63896,                0.64362,                0.32901,                 1.6033,                 1.2575,                 1.2614,              0.0019307,              0.0019307,              0.0019307
                     16,                 1.5485,                 1.2577,                 1.2364,                0.62044,                0.62472,                0.63313,                0.32719,                 1.5971,                  1.246,                 1.2581,              0.0019258,              0.0019258,              0.0019258
                     17,                 1.5254,                 1.2145,                  1.219,                0.61227,                0.61727,                0.62765,                0.30759,                 1.6907,                 1.2163,                 1.2912,              0.0019208,              0.0019208,              0.0019208
                     18,                 1.5306,                 1.2178,                 1.2145,                0.57292,                0.63642,                0.61501,                0.31552,                  1.616,                 1.2428,                 1.2589,              0.0019159,              0.0019159,              0.0019159
                     19,                 1.5201,                 1.2094,                 1.2109,                0.62966,                0.62701,                0.64105,                0.31827,                 1.6588,                 1.2401,                 1.2666,              0.0019109,              0.0019109,              0.0019109
                     20,                 1.5105,                 1.2238,                 1.2064,                0.64407,                0.62142,                0.64517,                0.32775,                 1.6444,                  1.203,                 1.2651,               0.001906,               0.001906,               0.001906
                     21,                 1.5161,                 1.2274,                 1.1946,                0.62459,                0.62179,                 0.6477,                0.33081,                 1.6021,                 1.1968,                 1.2342,               0.001901,               0.001901,               0.001901
                     22,                 1.5031,                    1.2,                 1.1974,                0.63642,                0.64553,                0.66462,                0.32698,                 1.6515,                 1.2054,                 1.2441,              0.0018961,              0.0018961,              0.0018961
                     23,                 1.5357,                 1.2363,                 1.2038,                 0.6422,                0.63772,                0.65412,                0.33665,                 1.5995,                 1.1966,                 1.2323,              0.0018911,              0.0018911,              0.0018911
                     24,                 1.5037,                 1.2412,                 1.1907,                0.62982,                0.65203,                0.66237,                0.35343,                 1.5345,                 1.1763,                 1.2132,              0.0018862,              0.0018862,              0.0018862
                     25,                  1.507,                 1.1848,                 1.1862,                0.63512,                0.63852,                0.65334,                0.33879,                 1.5942,                 1.2042,                 1.2345,              0.0018812,              0.0018812,              0.0018812
                     26,                 1.4999,                 1.1874,                 1.1894,                0.63601,                0.65561,                0.67482,                0.35829,                  1.549,                 1.1479,                 1.2121,              0.0018763,              0.0018763,              0.0018763
                     27,                 1.4921,                 1.1898,                 1.1802,                0.64701,                0.64715,                0.66864,                0.33895,                 1.6072,                 1.1826,                 1.2326,              0.0018713,              0.0018713,              0.0018713
                     28,                 1.4863,                 1.1781,                 1.1833,                0.64152,                0.63434,                0.65099,                0.33732,                  1.616,                 1.2063,                 1.2468,              0.0018663,              0.0018663,              0.0018663
                     29,                 1.4864,                 1.1618,                 1.1774,                0.64255,                0.66175,                0.67396,                0.35732,                  1.541,                 1.1447,                 1.2203,              0.0018614,              0.0018614,              0.0018614
                     30,                 1.5013,                   1.19,                 1.1834,                0.65404,                0.63632,                0.66913,                0.34628,                 1.5759,                 1.1566,                 1.2305,              0.0018564,              0.0018564,              0.0018564
                     31,                 1.4829,                 1.1745,                 1.1747,                0.64022,                0.66492,                0.67107,                0.35092,                 1.5567,                 1.1688,                 1.2214,              0.0018515,              0.0018515,              0.0018515
                     32,                 1.4681,                 1.1693,                  1.176,                0.68022,                0.62764,                0.68185,                0.35645,                 1.5635,                 1.1437,                 1.2189,              0.0018465,              0.0018465,              0.0018465
                     33,                 1.4876,                  1.161,                 1.1706,                0.65118,                0.66294,                0.67961,                0.35888,                 1.5585,                 1.1371,                 1.2052,              0.0018416,              0.0018416,              0.0018416
                     34,                 1.4642,                 1.1519,                 1.1725,                0.66495,                0.62151,                0.66823,                0.35813,                 1.5251,                 1.1476,                 1.2013,              0.0018367,              0.0018367,              0.0018367
                     35,                 1.4669,                 1.1559,                  1.172,                0.66034,                0.64487,                0.66081,                0.34837,                 1.5662,                 1.1616,                 1.2098,              0.0018317,              0.0018317,              0.0018317
                     36,                 1.4673,                 1.1596,                 1.1589,                0.62699,                0.65379,                0.66785,                0.35235,                 1.5361,                 1.1709,                 1.1992,              0.0018267,              0.0018267,              0.0018267
                     37,                  1.471,                 1.1491,                 1.1679,                0.65645,                0.65073,                0.67308,                0.35459,                  1.578,                 1.1462,                 1.2172,              0.0018218,              0.0018218,              0.0018218
                     38,                 1.4586,                 1.1358,                 1.1572,                0.65711,                0.64564,                0.67515,                0.35808,                 1.5319,                 1.1608,                 1.2007,              0.0018168,              0.0018168,              0.0018168
                     39,                 1.4589,                 1.1419,                 1.1781,                0.65557,                0.65236,                0.67857,                0.35909,                 1.5347,                 1.1585,                  1.199,              0.0018119,              0.0018119,              0.0018119
                     40,                 1.4587,                 1.1432,                 1.1616,                0.67023,                0.64683,                0.68101,                0.35879,                 1.5448,                 1.1538,                 1.2044,              0.0018069,              0.0018069,              0.0018069
                     41,                 1.4602,                 1.1476,                 1.1678,                0.67411,                0.63935,                0.68494,                0.36524,                 1.5398,                 1.1388,                 1.2022,               0.001802,               0.001802,               0.001802
                     42,                 1.4552,                  1.143,                 1.1608,                  0.646,                0.65931,                0.67734,                0.36037,                  1.516,                 1.1442,                 1.2093,              0.0017971,              0.0017971,              0.0017971
                     43,                 1.4425,                 1.1303,                 1.1563,                0.65587,                0.66567,                0.68939,                0.37031,                 1.5215,                 1.1199,                 1.1968,              0.0017921,              0.0017921,              0.0017921
                     44,                  1.436,                 1.1251,                 1.1549,                0.67295,                 0.6478,                0.69912,                0.37401,                 1.5142,                 1.1103,                  1.198,              0.0017872,              0.0017872,              0.0017872
                     45,                 1.4638,                 1.1332,                  1.163,                0.69011,                0.62283,                0.68107,                0.36511,                 1.5052,                 1.1405,                 1.1843,              0.0017822,              0.0017822,              0.0017822
                     46,                 1.4438,                 1.1207,                 1.1586,                0.66573,                 0.6478,                0.68679,                0.36563,                 1.5326,                 1.1379,                 1.1938,              0.0017772,              0.0017772,              0.0017772
                     47,                 1.4347,                 1.1217,                 1.1461,                0.66083,                0.66022,                0.68217,                0.36798,                 1.5216,                 1.1268,                 1.1985,              0.0017723,              0.0017723,              0.0017723
                     48,                 1.4454,                 1.1222,                 1.1559,                 0.6545,                0.65203,                0.68835,                0.36458,                 1.5366,                  1.138,                 1.1984,              0.0017674,              0.0017674,              0.0017674
                     49,                 1.4352,                 1.1171,                 1.1518,                0.66101,                0.65301,                 0.6918,                0.37203,                  1.539,                 1.1144,                 1.2097,              0.0017624,              0.0017624,              0.0017624
                     50,                 1.4466,                 1.1351,                 1.1599,                0.66117,                0.63187,                0.68534,                0.35601,                 1.5742,                 1.1503,                  1.217,              0.0017575,              0.0017575,              0.0017575
                     51,                 1.4238,                 1.1068,                 1.1542,                0.65813,                0.63294,                0.67787,                0.36218,                 1.5127,                 1.1408,                 1.1938,              0.0017525,              0.0017525,              0.0017525
                     52,                 1.4341,                 1.1095,                 1.1521,                0.67575,                0.66179,                0.70053,                0.37492,                 1.5345,                 1.1062,                 1.2016,              0.0017476,              0.0017476,              0.0017476
                     53,                 1.4301,                 1.1274,                  1.159,                0.66381,                0.66331,                0.69361,                0.37038,                 1.5269,                 1.1335,                 1.1908,              0.0017426,              0.0017426,              0.0017426
                     54,                 1.4353,                  1.105,                   1.14,                 0.6798,                0.65138,                0.69858,                0.37877,                 1.5053,                 1.1035,                 1.1871,              0.0017376,              0.0017376,              0.0017376
                     55,                 1.3969,                 1.1195,                 1.1354,                0.66733,                0.65366,                0.69259,                0.37115,                 1.5353,                 1.1058,                  1.193,              0.0017327,              0.0017327,              0.0017327
                     56,                 1.4246,                 1.1012,                 1.1468,                0.67921,                0.65275,                0.70129,                0.37369,                 1.4954,                  1.115,                 1.1804,              0.0017278,              0.0017278,              0.0017278
                     57,                 1.4166,                 1.0855,                 1.1482,                0.69216,                0.65078,                 0.7029,                0.37595,                 1.5497,                 1.0945,                 1.1943,              0.0017228,              0.0017228,              0.0017228
                     58,                 1.4154,                 1.0947,                 1.1436,                0.67703,                 0.6517,                0.68889,                0.36764,                  1.538,                 1.1245,                 1.2104,              0.0017179,              0.0017179,              0.0017179
                     59,                 1.4144,                 1.0875,                 1.1462,                0.68665,                0.65138,                 0.7024,                0.38381,                 1.5033,                 1.0997,                 1.1834,              0.0017129,              0.0017129,              0.0017129
                     60,                 1.4172,                 1.0957,                  1.134,                0.67548,                0.64103,                0.69554,                0.37106,                 1.5487,                 1.1171,                 1.1904,               0.001708,               0.001708,               0.001708
                     61,                 1.4208,                 1.1088,                 1.1464,                0.67972,                0.66146,                0.69904,                0.37229,                 1.5508,                 1.1028,                  1.198,               0.001703,               0.001703,               0.001703
                     62,                 1.3952,                 1.0721,                  1.136,                0.68431,                0.67024,                0.70414,                0.38079,                 1.4965,                 1.0934,                 1.1839,               0.001698,               0.001698,               0.001698
                     63,                 1.4057,                 1.0718,                 1.1357,                0.66809,                0.66927,                 0.7034,                0.37784,                 1.5271,                 1.0955,                 1.1931,              0.0016931,              0.0016931,              0.0016931
                     64,                 1.4239,                 1.0848,                 1.1576,                0.68302,                 0.6692,                0.70453,                0.36545,                 1.5766,                 1.1043,                 1.2198,              0.0016882,              0.0016882,              0.0016882
                     65,                 1.4242,                 1.0848,                 1.1431,                 0.6737,                0.66271,                0.70337,                0.38817,                 1.4784,                 1.0918,                 1.1733,              0.0016832,              0.0016832,              0.0016832
                     66,                 1.4079,                 1.0894,                 1.1361,                0.67992,                0.65835,                0.70099,                0.38441,                 1.5028,                 1.0879,                 1.1757,              0.0016783,              0.0016783,              0.0016783
                     67,                 1.3889,                 1.0717,                 1.1287,                0.67334,                0.67382,                 0.7021,                0.38467,                  1.509,                 1.0964,                 1.1873,              0.0016733,              0.0016733,              0.0016733
                     68,                  1.411,                 1.0871,                 1.1407,                0.66151,                0.66244,                0.69394,                0.37865,                 1.5028,                 1.1225,                 1.1825,              0.0016684,              0.0016684,              0.0016684
                     69,                 1.4048,                 1.0826,                 1.1367,                0.70022,                0.64568,                0.70654,                0.37806,                 1.5094,                 1.1007,                 1.1951,              0.0016634,              0.0016634,              0.0016634
                     70,                 1.3993,                 1.0693,                  1.134,                 0.7013,                0.65593,                0.71386,                0.37887,                 1.5295,                 1.0975,                 1.1905,              0.0016585,              0.0016585,              0.0016585
                     71,                 1.3927,                 1.0643,                 1.1346,                0.67874,                0.64172,                0.69034,                0.37305,                 1.5276,                 1.1271,                 1.1969,              0.0016535,              0.0016535,              0.0016535
                     72,                 1.3956,                 1.0631,                 1.1293,                0.66571,                0.66407,                0.69672,                0.37894,                 1.5056,                 1.0957,                 1.1777,              0.0016485,              0.0016485,              0.0016485
                     73,                 1.3953,                 1.0743,                 1.1362,                0.67938,                0.66667,                0.69787,                0.37627,                 1.5306,                 1.0837,                 1.1955,              0.0016436,              0.0016436,              0.0016436
                     74,                 1.3896,                 1.0571,                 1.1321,                0.68841,                0.66389,                0.70916,                0.38193,                 1.5128,                 1.0946,                 1.1875,              0.0016386,              0.0016386,              0.0016386
                     75,                 1.3982,                 1.0495,                 1.1315,                0.69072,                0.66569,                0.71047,                0.38067,                 1.5284,                 1.0943,                 1.1858,              0.0016337,              0.0016337,              0.0016337
                     76,                 1.3982,                 1.0534,                 1.1284,                0.68922,                0.65054,                 0.7069,                0.38092,                 1.5325,                 1.0827,                    1.2,              0.0016287,              0.0016287,              0.0016287
